unique_id,uptick_name,date,title,url,TRIPI (1),TRIPI (2),Category (1),Category (2)
2d20180327n1.pdf,hkex,2018-03-27,The GEM Listing Committee censures or criticises a number of its current and former directors of Changhong Jiahua Holdings Limited for breaching the GEM Listing Rules and the Director’s Undertaking,http://www.hkex.com.hk/News/News-Release/2018/180327news?sc_lang=en,,,,
2d20180326n1.pdf,hkex,2018-03-26,Summary of HKEX Chief Executive Charles Li’s Speech at the 2018 China (Shenzhen) IT Summit,http://www.hkex.com.hk/News/News-Release/2018/180326news?sc_lang=en,,,,
2d20180323n1.pdf,hkex,2018-03-23,HKEX to Reduce Multipliers of 10 Stock Futures Contracts,http://www.hkex.com.hk/News/News-Release/2018/180323news?sc_lang=en,,,,
2d20180322n1.pdf,hkex,2018-03-22,HKEX Hosts Inaugural Biotech Summit,http://www.hkex.com.hk/News/News-Release/2018/180322news?sc_lang=en,,,,
2d20180322n2.pdf,hkex,2018-03-22,"Adjustment of Henderson Land Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/1803222news?sc_lang=en,,,,
2d20180321n1.pdf,hkex,2018-03-21,"Adjustment of Hong Kong and China Gas Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/180321news?sc_lang=en,,,,
2d20180319n1.pdf,hkex,2018-03-19,Exchange Publishes its Latest Listing Committee Report ,http://www.hkex.com.hk/News/News-Release/2018/180319news?sc_lang=en,,,,
2d20180319n2.pdf,hkex,2018-03-19,"Adjustment of Power Assets Structured Products, Futures and Options",http://www.hkex.com.hk/News/News-Release/2018/1803192news?sc_lang=en,,,,
2d20180309n1.pdf,hkex,2018-03-09,SFC and Exchange sign addendum to MOU Governing Listing Matters ,http://www.hkex.com.hk/News/News-Release/2018/180309news?sc_lang=en,,,,
2d20180308n1.pdf,hkex,2018-03-08,HKEX Presents Stock Connect Awards to Honour Market Participants ,http://www.hkex.com.hk/News/News-Release/2018/180308news?sc_lang=en,,,,
2d20180306n1.pdf,hkex,2018-03-06,HKEX to introduce Tracker Fund and Hang Seng China Enterprises Index ETF futures,http://www.hkex.com.hk/News/News-Release/2018/180306news?sc_lang=en,,,,
2d20180228n1.pdf,hkex,2018-02-28,"Report on Initial Public Offering Applications, Delisting and Suspensions (As at 28 February 2018)",http://www.hkex.com.hk/News/News-Release/2018/1802284news?sc_lang=en,,,,
